order_id,klant_id,klant_naam,e-mailadres,telefoonnummer,leeftijd,loyalty_status,product_naam,merk,maat,prijs,aantal,totaal_bedrag,aankoopdatum,betaalmethode,land,straatnaam,huisnummer,postcode,woonplaats
1019,K2120,Suus Briere,jannapratt@hotmail.com,+3158 6923226,46,Nieuw,Yeezy Boost 350 V2,Adidas,41,165.78,1,165.78,2022-02-08,Creditcard,Nederland,Rosasingel,857,4280 TQ,Ospel
1020,K0291,Rick Verkade,madsklomp-jan@hotmail.com,+3160 7337543,63,Zilver,Yeezy Boost 350 V2,Adidas,36,794.73,1,794.73,2022-12-13,Creditcard,Duitsland,Valentijnbaan,612,5083 FT,Borne
1021,K2741,Niek Louws,mathijs14@yahoo.com,+31(0)850-142940,49,Nieuw,Adidas NMD,Adidas,45,582.16,1,582.16,2022-06-18,Apple Pay,Frankrijk,Thomasweg,2,2877TS,Nieuweroord
1022,K0780,Iris Timmermans,de-jode-vastraedsdrobin@hotmail.com,(0406) 088356,24,Nieuw,Rhyton Sneaker,Gucci,42,458.33,1,458.33,2022-04-19,iDEAL,Nederland,Jorishof,4,1247 OT,Heijen
1023,K0249,Lynn Timmermans,amira46@koninklijke.net,+31(0)366 299468,43,Goud,Air Max 1 Premium,Nike,39,292.66,1,292.66,2022-01-01,Apple Pay,België,Xavipad,32,4192SS,Leens
1024,K1141,Fiene Merckx,vigo77@hotmail.com,(0872) 148951,47,Nieuw,Jordan 1 Retro High OG,Nike,44,223.43,1,223.43,2022-12-31,iDEAL,Nederland,Victorweg,154,6690MV,Lent
1025,K0969,Esther Manne,brugmanliam@fiat.com,(0693)-676320,28,Zilver,Ace Sneaker,Gucci,42,826.83,1,826.83,2022-06-15,iDEAL,Frankrijk,Miloulaan,9,9161OR,Bergharen
1026,K1087,Esmée Köster,potterssarah@gmail.com,(0278)-895798,47,Nieuw,Yeezy Foam RNNR,Yeezy,38,292.42,1,292.42,2023-10-25,iDEAL,Luxemburg,Florianboulevard,598,6257 VU,Den Burg
1027,K2221,Sterre Kleybrink-van Oirschot,lieke34@hotmail.com,(034)-7143455,21,Goud,Air Max 1 Premium,Nike,45,507.59,2,1015.18,2024-04-19,Creditcard,Nederland,Timboulevard,1,9541 ED,Engwierum
1028,K2081,Collin Kamp,tkathagen@dennenberg.biz,+31876-036690,23,Goud,Nike Dunk Low,Nike,37,656.41,1,656.41,2024-06-13,iDEAL,Luxemburg,Felinebaan,07,2427 BA,Bodegraven
1029,K1009,Kayleigh Alpaidis,lieve66@hotmail.com,(073) 4670656,55,Zilver,990v5,New Balance,42,643.03,1,643.03,2022-09-14,PayPal,Duitsland,Berendpad,837,3468 HX,Gaanderen
1030,K0837,Tessa Hoogers-van der Laan,fboddaugh@ymere.info,+31(0)04 6537556,60,Goud,Adidas Forum Low,Adidas,42,248.16,1,248.16,2023-03-09,Apple Pay,Duitsland,Yasminering,8,8918 PO,Spaubeek
1031,K0298,Fatima Everts,van-der-meerbradley@yahoo.com,(010) 0330923,18,Zilver,990v5,New Balance,37,553.23,1,553.23,2022-07-16,Creditcard,Duitsland,Felinesteeg,34,7579 UX,Oijen
1032,K0282,Megan Heijmen-Molen,lisanne52@hotmail.com,+3124 1904966,33,Nieuw,Adidas Forum Low,Adidas,44,677.65,1,677.65,2022-11-05,iDEAL,Luxemburg,Nauddreef,93,4256JR,Lutjebroek
1033,K1227,Melle Peters,nadia91@wensen.biz,+3118-5067165,60,Nieuw,Adidas Forum Low,Adidas,37,817.28,1,817.28,2024-09-14,Creditcard,Duitsland,Suusstraat,1,7740 OA,Woensdrecht
1034,K1155,Mirte Keijser-van Duyvenvoorde,fatima87@skf.org,0531-473799,56,Nieuw,Triple S,Balenciaga,46,625.68,1,625.68,2024-11-03,Apple Pay,Duitsland,Jamesstraat,600,6723 SB,Tiendeveen
1035,K0209,Inaya Boers,joep73@yahoo.com,0549-480831,23,Zilver,Triple S,Balenciaga,36,400.17,1,400.17,2023-01-10,PayPal,België,Lisannesteeg,66,6947 PG,Wormer
1036,K1810,Kyara Perck,yvan-grondelle@gmail.com,+31436 349578,53,Goud,990v5,New Balance,37,206.43,1,206.43,2024-04-04,Creditcard,Luxemburg,Victorialaan,4,1079ZE,Heijenrath
1037,K0148,Jinthe van der Wal,jinthe74@yahoo.com,0313-518233,41,Zilver,Adidas Forum Low,Adidas,38,181.37,1,181.37,2024-01-23,iDEAL,Duitsland,Ellalaan,72,9429QC,Maashees
1038,K0861,Nadine van den Pol,lucasmelle@gmail.com,+3124-0824008,61,Nieuw,Jordan 1 Retro High OG,Nike,44,813.1,1,813.1,2023-03-30,Creditcard,België,Jasonpad,00,8456DI,Heerde
1039,K0666,Muhammed van Tours,schwartsbachvincent@rijk.com,+31(0)04 7116719,29,Goud,Air Max 1 Premium,Nike,41,736.79,1,736.79,2024-09-04,Creditcard,Duitsland,Florisdreef,485,5240UZ,Oud-Alblas
1040,K0653,Damian Jurrijens,postgerrit@hotmail.com,+31(0)99-9386774,62,Nieuw,Jordan 1 Retro High OG,Nike,39,299.68,2,599.36,2024-07-03,PayPal,Duitsland,Gerritsingel,103,7010KA,Schinveld
1041,K0933,Féline Courtier,femkemeyer@royal.com,(028) 1206797,32,Nieuw,Adidas Forum Low,Adidas,41,358.95,1,358.95,2023-03-29,PayPal,Duitsland,Inayahof,16,5888ZJ,Holwerd
1042,K2628,Floris Sire,rdries@gmail.com,0936-183242,50,Nieuw,550,New Balance,36,236.51,2,473.02,2022-04-21,Creditcard,Luxemburg,Micharing,44,3466 HH,Bentelo
1043,K1088,Dave Takkelenburg,dhoelen@hotmail.com,064-8877190,20,Nieuw,Rhyton Sneaker,Gucci,41,477.3,2,954.6,2023-11-03,iDEAL,Frankrijk,Frederiquepad,7,8200 QE,Scheemda
1044,K2362,Lotte Prins,oennenvictoria@sanders.com,+31(0)78 7429671,30,Nieuw,Yeezy Foam RNNR,Yeezy,36,539.94,1,539.94,2024-01-01,Creditcard,Duitsland,Lizesteeg,510,9145 GP,Giethmen
1045,K1767,Jennifer Vermeulen,knufniek@yahoo.com,(046)-8071545,22,Platina,Speed Trainer,Balenciaga,46,786.01,1,786.01,2022-06-30,PayPal,Luxemburg,Micksteeg,74,4006 LH,Monnickendam
1046,K1267,Senna van den Berg,dvan-arnsberg@van.org,(070)-3482477,60,Zilver,Rhyton Sneaker,Gucci,44,245.47,1,245.47,2022-07-08,Apple Pay,België,Nadinesteeg,476,4163TW,Akersloot
1047,K2522,Yusuf Pauwels,chloe08@agrifirm.com,+3171 2748467,54,Nieuw,990v5,New Balance,40,365.19,1,365.19,2024-01-04,PayPal,Frankrijk,Zoëring,2,1276JP,Bemelen
1048,K1810,Koen van der Zijl-Jekel,selinavan-de-pavert@hotmail.com,+31(0)146 584044,46,Zilver,550,New Balance,38,644.14,1,644.14,2024-06-30,PayPal,Nederland,Emmaring,7,1293ST,Santpoort-Noord
1049,K0963,Senna Jorrisen-van Goerle,noah88@yahoo.com,(0533)-963605,61,Nieuw,Yeezy Boost 350 V2,Adidas,36,184.66,2,369.32,2024-01-05,iDEAL,Frankrijk,Stefweg,58,8436 IQ,Cuijk
1050,K1698,Janna Kas,holthuisamelia@hotmail.com,+31171-870262,58,Zilver,Yeezy Foam RNNR,Yeezy,43,449.74,1,449.74,2022-04-27,iDEAL,Nederland,Ameliahof,3,8205PX,Sleeuwijk
1051,K1742,Olivia Roukes-Vink,vergeernadine@hotmail.com,+31(0)578-091343,32,Nieuw,Yeezy Foam RNNR,Yeezy,36,568.05,2,1136.1,2022-05-21,iDEAL,Frankrijk,Veerlering,040,1708RP,Heijenrath
1052,K0547,Zoë Giselmeyer,skorstman@stichting.com,045 5623869,47,Zilver,2002R,New Balance,41,862.53,1,862.53,2024-11-25,Apple Pay,Luxemburg,Meesstraat,71,5628 WD,Steggerda
1053,K1827,David Kunen,fperkins@opmans.com,(0407)-482175,28,Goud,Rhyton Sneaker,Gucci,40,713.83,1,713.83,2024-07-01,PayPal,Luxemburg,Davidring,07,3888 JX,Meerkerk
1054,K1985,Maja van Bruchem,mstettyn@yahoo.com,(013)-6959440,58,Nieuw,Ace Sneaker,Gucci,40,325.87,1,325.87,2024-10-19,iDEAL,België,Davesingel,54,7798 LK,Schoorl
1055,K0618,Fenna Arens,xsestig@wigman.com,0210-470952,32,Nieuw,Adidas NMD,Adidas,39,198.17,1,198.17,2022-05-21,Apple Pay,Frankrijk,Yasmineboulevard,699,2360FF,Paasloo
1056,K0256,Helena van Beeck,hiddevan-der-meer@royal.com,+31(0)47 4517123,31,Goud,Ace Sneaker,Gucci,45,435.29,1,435.29,2024-11-16,PayPal,Duitsland,Tirzasingel,3,3496ZE,Vondelingenplaat Rotterdam
1057,K1598,Zara Zaal,qbastiaense@van.com,+31(0)513-709859,44,Zilver,Yeezy Slide,Yeezy,43,314.57,1,314.57,2022-12-10,iDEAL,Frankrijk,Nieklaan,546,2873 AJ,Bemmel
1058,K1377,Morris van Loon,ihelmerhorst@gmail.com,047 1138267,60,Zilver,Ace Sneaker,Gucci,43,839.66,2,1679.32,2023-07-31,iDEAL,Frankrijk,Alexboulevard,633,3045 XZ,Steenderen
1059,K2425,Loes Kerkhof,van-stralenfatima@yahoo.com,0053-773515,54,Zilver,Nike Dunk Low,Nike,42,251.77,1,251.77,2024-04-25,iDEAL,Duitsland,Kikibaan,4,5735UB,Evertsoord
1060,K1553,Annemijn de Vries,yasmineheyne@yahoo.com,+31390 053293,38,Nieuw,Speed Trainer,Balenciaga,42,358.69,2,717.38,2022-04-17,Apple Pay,Duitsland,Olivierlaan,05,7353 XC,Amerongen
1061,K0336,Mehmet Moet-Otte,lolaadriaansen@yahoo.com,+31(0)284 210205,48,Nieuw,990v5,New Balance,41,318.17,1,318.17,2023-01-05,iDEAL,Nederland,Maudboulevard,73,3915WU,Aerdenhout
1062,K1013,Alyssa Kuipers,hondeveldlara@yahoo.com,+3117 7589178,30,Goud,990v5,New Balance,39,244.67,1,244.67,2022-12-11,Creditcard,Frankrijk,Roanbaan,632,7807 VI,Loo Gld
1063,K2866,Rayan van den Hoek,dboogaerts@yahoo.com,+31(0)617-711592,34,Goud,Adidas NMD,Adidas,45,872.8,1,872.8,2022-04-13,Creditcard,Duitsland,Hannaboulevard,937,7414 ID,Graft
1064,K0443,Ibrahim van der Veiver,svan-der-hoeven@yahoo.com,+31(0)11-8367365,55,Nieuw,Speed Trainer,Balenciaga,42,856.1,1,856.1,2023-12-06,Creditcard,Nederland,Kickbaan,430,1864 HU,Oud Gastel
1065,K2856,Jet Genefaas,qtillmanno@yahoo.com,+3127-1111615,37,Goud,990v5,New Balance,45,736.98,1,736.98,2022-07-22,Apple Pay,Duitsland,Inayasingel,23,5128WO,Saasveld
1066,K0283,Mehmet Verharen,qwildschut@farm.com,094-5198327,50,Zilver,Jordan 1 Retro High OG,Nike,43,229.15,2,458.3,2022-12-15,Apple Pay,België,Benjaminpad,110,2100XY,Hengstdijk
1067,K1784,Jesse Zevenboom,elif36@ruijs.com,0455-022961,29,Goud,Yeezy Foam RNNR,Yeezy,45,756.15,1,756.15,2022-08-09,Apple Pay,Frankrijk,Oscarsingel,41,3879ZK,Roermond
1068,K1785,Bjorn van der Hoeven,dvan-bernicia@stichting.com,+31991-022901,64,Zilver,Triple S,Balenciaga,37,359.2,1,359.2,2023-02-27,Apple Pay,Luxemburg,Abelstraat,7,2032WC,Den Hoorn
1069,K2500,Maud van Bruchem-van Salmen,nscharroo@hotmail.com,+3156 1497840,60,Nieuw,Jordan 1 Retro High OG,Nike,41,286.38,1,286.38,2022-12-09,PayPal,Duitsland,Quintysteeg,03,6617 TV,Ysbrechtum
1070,K1146,Lot Claesner,michaelmeyer@rek.com,+3107 6226838,56,Goud,Triple S,Balenciaga,44,861.05,1,861.05,2024-05-17,Apple Pay,Frankrijk,Davidstraat,9,5297 BE,Broekland
1071,K2275,Aya de Swart,dberends@timmerman.biz,+31(0)641-605297,33,Zilver,Yeezy Foam RNNR,Yeezy,43,744.7,1,744.7,2024-12-07,Creditcard,Frankrijk,Aydenstraat,865,2130XP,Gersloot
1072,K2834,Benthe van Embden,tiesde-wit@de.com,(052) 1818835,33,Nieuw,550,New Balance,43,565.1,1,565.1,2023-06-30,PayPal,Duitsland,Fabiënnehof,44,4189 EA,De Waal
1073,K2879,Gerrit Greij,jorn29@eijkelboom.info,(0997)-995527,47,Nieuw,Triple S,Balenciaga,37,690.96,1,690.96,2022-04-17,Creditcard,België,Ivyhof,7,4967 YP,Breedenbroek
1074,K0887,Joy Stinis-Scheffers,amira14@atos.com,054 1199867,65,Zilver,Yeezy Foam RNNR,Yeezy,37,774.47,1,774.47,2024-06-20,PayPal,België,Yfkeboulevard,1,4048KB,Cadier en Keer
1075,K1239,Kick Ligtvoet,jvan-zwaben@gmail.com,(0151)-820377,18,Goud,Adidas Forum Low,Adidas,36,880.72,1,880.72,2024-03-25,Creditcard,Frankrijk,Amberstraat,05,4591KD,Darp
1076,K0421,Joep de Boer,xter-waarbeek@yahoo.com,051 5186449,18,Zilver,Rhyton Sneaker,Gucci,43,405.53,2,811.06,2022-08-22,PayPal,Frankrijk,Mickboulevard,2,4556 GG,Valthe
1077,K0468,Azra Jansen,yasmine62@hotmail.com,+31486 528168,22,Zilver,Nike Dunk Low,Nike,46,664.84,1,664.84,2023-07-17,PayPal,Nederland,Stensingel,793,1225AT,Asperen
1078,K1017,Job Terry,oliviervan-santen@nijman.com,+31418 880592,25,Zilver,Ace Sneaker,Gucci,44,435.28,2,870.56,2024-07-16,PayPal,Luxemburg,Nynkehof,662,6070QG,Wijnbergen
1079,K1757,Dina Kok,juulvan-engeland@van.com,(0947)-383473,37,Zilver,Nike Dunk Low,Nike,37,860.69,1,860.69,2023-07-26,Creditcard,Duitsland,Renspad,2,3081IX,Kerkwijk
1080,K2706,Juul Schrik-de Haan,maritmansveld@hotmail.com,+31(0)407 581814,23,Nieuw,Adidas NMD,Adidas,37,267.4,1,267.4,2022-05-11,Apple Pay,Duitsland,Vincentstraat,3,8110 DP,Halfweg
1081,K0134,Ian van Hagen,ogeerling@interfood.com,0606 853615,32,Nieuw,Speed Trainer,Balenciaga,37,665.54,2,1331.08,2022-12-15,Creditcard,Frankrijk,Aliciastraat,523,6035OK,Angeren
1082,K0471,Jasper Glasses,ibrahimbresse@yahoo.com,(027)-7901043,52,Nieuw,Adidas Forum Low,Adidas,38,203.56,1,203.56,2022-08-21,PayPal,Luxemburg,Lynnboulevard,281,9428BK,Egmond-Binnen
1083,K2332,Cato Sire,gijs03@harvey.org,(0117)-980893,36,Zilver,Rhyton Sneaker,Gucci,42,857.01,1,857.01,2022-08-12,Apple Pay,Frankrijk,Larssteeg,2,7423 LG,Holwerd
1084,K0330,Johanna Aarts,elenavan-beek@gmail.com,+31851 888880,56,Nieuw,Rhyton Sneaker,Gucci,45,337.78,1,337.78,2023-08-30,iDEAL,Duitsland,Simonstraat,993,7001KI,Den Velde
1085,K2361,Angelina de Kale-de Boer,wilsonlola@gmail.com,+3131-9520585,20,Goud,Adidas Forum Low,Adidas,44,638.63,2,1277.26,2024-09-25,Creditcard,Luxemburg,Morrissingel,1,4616UJ,Lytsewierrum
1086,K1786,Stef van Lucel,marahulst@gmail.com,(0043)-030548,58,Goud,Jordan 1 Retro High OG,Nike,41,456.26,1,456.26,2023-09-11,iDEAL,België,Myrtheboulevard,343,8768HU,Ommel
1087,K1351,Fatima Bouwhuisen-Lommert,ninthe05@yahoo.com,+3156 6765277,44,Zilver,Speed Trainer,Balenciaga,44,177.52,1,177.52,2023-07-25,PayPal,Duitsland,Corneliaweg,36,5804 OU,Jislum
1088,K0475,Puck Feenstra,van-dillenesther@gmail.com,051-1544796,43,Goud,Nike Dunk Low,Nike,44,496.48,1,496.48,2022-09-16,PayPal,Luxemburg,Floriansingel,5,3545 JX,Bosch en Duin
1089,K2042,Isa van Gorp-Broeders,oscheffers@gmail.com,+31658 202970,58,Zilver,Air Max 1 Premium,Nike,40,561.91,2,1123.82,2022-07-16,Apple Pay,Frankrijk,Philipbaan,29,1704LD,Vaassen
1090,K0498,Gerrit Zeemans,mbos@gmail.com,(0557)-192856,19,Platina,990v5,New Balance,38,383.06,1,383.06,2023-05-04,Apple Pay,Nederland,Jolieweg,2,2829 BN,Echtenerbrug
1091,K0921,Fabiënne Heijman,alyssavan-den-broek@continental.net,+3144 7394731,25,Zilver,Nike Dunk Low,Nike,38,523.78,1,523.78,2022-07-30,PayPal,Frankrijk,Benjaminsingel,904,6835CK,Elst Ut
1092,K1977,Kick Kuijpers,uphusisabel@yahoo.com,+31884 422583,48,Nieuw,990v5,New Balance,42,292.96,1,292.96,2022-07-08,Creditcard,Nederland,Imranhof,07,4941AR,Achterveld
1093,K1132,Senn Jans-Oversteeg,wolterschloe@hotmail.com,+3178-2911467,44,Nieuw,550,New Balance,36,362.13,1,362.13,2024-03-27,Apple Pay,België,Sophiaweg,186,9908QW,Niebert
1094,K1830,Norah van 't Erve,yintheuittenbosch@van.net,+3128-9226801,52,Zilver,Speed Trainer,Balenciaga,43,849.64,1,849.64,2024-03-15,Creditcard,Luxemburg,Joeylaan,2,1970 PM,1e Exloërmond
1095,K1569,Jamie Konings,sophie35@stichting.com,0249-818299,32,Goud,Ace Sneaker,Gucci,41,708.53,1,708.53,2022-08-28,Apple Pay,Frankrijk,Julesdreef,957,3366FJ,Feinsum
1096,K2719,Niek Vierdag,eversbjorn@royal.org,+31(0)90-7844736,59,Platina,Ace Sneaker,Gucci,38,526.72,1,526.72,2023-04-08,iDEAL,Frankrijk,Nadinehof,74,1923MW,Marknesse
1097,K0409,Aya Cosman-Klein,dvan-rossum@gmail.com,+31925-556258,51,Platina,Nike Dunk Low,Nike,38,457.48,1,457.48,2024-05-22,Creditcard,Nederland,Emmaboulevard,33,2762FF,Buggenum
1098,K1924,Jasper Perrono,ruijstom@gmail.com,+31(0)104 696325,34,Nieuw,Yeezy Foam RNNR,Yeezy,46,210.24,1,210.24,2024-06-16,Apple Pay,Duitsland,Matthijslaan,023,5465TY,Boven-Leeuwen
1099,K2568,Eliza Klomp Jan,tvan-wessex@yahoo.com,0168 733950,63,Goud,Ace Sneaker,Gucci,45,201.32,1,201.32,2022-03-20,PayPal,België,Sannesingel,7,3315ZU,Holthone
1100,K0371,Kyra van Munster,hagendoornthijs@gmail.com,0565-060983,45,Platina,Yeezy Slide,Yeezy,43,274.77,1,274.77,2023-07-18,iDEAL,Nederland,Davepad,6,7524SQ,Baars
1101,K1329,Aya de Jonge,megan99@gmail.com,+31(0)165 585239,21,Nieuw,Speed Trainer,Balenciaga,38,333.15,1,333.15,2024-03-01,Creditcard,België,Juliestraat,2,2175EP,Roswinkel
1102,K0718,Lara Brievingh,jacobijoelle@koninklijke.info,+31(0)982 595269,23,Zilver,Ace Sneaker,Gucci,43,834.62,1,834.62,2023-04-10,Apple Pay,Duitsland,Willemboulevard,59,8183BG,Grijpskerk
1103,K1883,Laura van de Veen,willem05@yahoo.com,+3169 4097499,34,Zilver,Rhyton Sneaker,Gucci,46,559.95,1,559.95,2022-12-20,PayPal,Luxemburg,Sarahsteeg,210,8154NY,Noordwolde
1104,K1226,Mees van Poppel,rjoosten@borman.com,0756 263689,58,Platina,Yeezy Foam RNNR,Yeezy,43,783.98,1,783.98,2024-01-03,Apple Pay,Frankrijk,Ivyboulevard,2,4118 VX,Dedemsvaart
1105,K0437,Pim Jacobs,iris78@wolters.com,(0858)-549733,33,Nieuw,Speed Trainer,Balenciaga,40,166.45,1,166.45,2023-03-10,Apple Pay,Duitsland,Eliselaan,18,4295RY,Jorwert
1106,K0034,Esther Sprong,jaylinnvan-straaten@yahoo.com,(058)-4419866,54,Goud,Yeezy Slide,Yeezy,45,708.88,1,708.88,2023-06-21,PayPal,België,Elisasingel,9,7910 SY,Vijlen
1107,K2487,Jacob Broeders,welfsienna@yahoo.com,0733-848421,40,Nieuw,Adidas NMD,Adidas,40,658.32,1,658.32,2024-08-14,Creditcard,Nederland,Linnboulevard,15,7502YQ,Westerlee
1108,K2571,Gijs Cammel-van der Horst,bradleygodfrey-van-alemannie@lekkerland.info,+3120 8267734,59,Nieuw,Ace Sneaker,Gucci,45,423.65,1,423.65,2023-05-14,PayPal,Duitsland,Kianpad,4,7118PX,Drempt
1109,K1702,Mare Corstiaens,benthebrands@van.com,+31(0)724-004991,29,Nieuw,550,New Balance,44,526.35,1,526.35,2023-06-05,Creditcard,Duitsland,Joshuabaan,871,7355EM,Edam
1110,K1974,Julie van der Sande,nadiavan-de-darnau@yahoo.com,0315-274205,36,Goud,Triple S,Balenciaga,43,872.17,1,872.17,2023-04-04,Creditcard,Frankrijk,Lynnsteeg,97,5857 GC,Blokker
1111,K2283,Dean le Briel-van Dagsburg,de-witisabella@gmail.com,+31(0)27 5304637,41,Nieuw,Ace Sneaker,Gucci,40,552.43,1,552.43,2023-02-19,PayPal,Luxemburg,Amberhof,890,9632 VN,Gramsbergen
1112,K1561,Frederique Backer,jenna30@hotmail.com,+3174 2684145,58,Platina,Nike Dunk Low,Nike,39,503.61,1,503.61,2024-08-12,PayPal,Luxemburg,Berendstraat,39,5901UX,Andelst
1113,K0907,Felix Huls-van Opper-Lotharingen,ade-bont@cargill.net,(0391) 878519,59,Nieuw,Rhyton Sneaker,Gucci,46,456.22,1,456.22,2022-06-24,iDEAL,Duitsland,Lorenzohof,093,4152 FW,Hekendorp
1114,K2018,Stef van der Strigt,jaysonverda@enexis.com,(018)-7072867,25,Nieuw,990v5,New Balance,42,490.23,1,490.23,2024-05-26,Apple Pay,Luxemburg,Dylanobaan,622,3093NB,Tytsjerk
1115,K2977,Mats van Leuven,de-ruiterlucas@gmail.com,(0910) 651801,27,Goud,Yeezy Slide,Yeezy,43,611.74,2,1223.48,2024-01-04,PayPal,Nederland,Sarasingel,4,4764 SM,Erm
1116,K2828,Jack ter Waarbeek,lisannevan-boulogne@koninklijke.biz,+31(0)182-512868,41,Nieuw,Ace Sneaker,Gucci,41,224.52,1,224.52,2022-07-17,PayPal,Nederland,Samuelstraat,592,8657FI,Grevenbicht
1117,K1631,Stefan Adriaense-Blaak,bvan-der-smeede@hotmail.com,+31(0)337-524310,35,Nieuw,Jordan 1 Retro High OG,Nike,37,647.08,1,647.08,2024-10-22,iDEAL,Nederland,Xaviboulevard,740,7589ZW,Asten
1118,K1367,Lucy Beernink,colingoedhart@van.com,(006) 7383028,33,Platina,990v5,New Balance,37,772.36,1,772.36,2023-03-26,Creditcard,België,Amiraboulevard,5,7920DL,Pieterburen
1119,K1346,Sil Uphuis-Vaessen,nova28@van.com,089 2687056,27,Goud,990v5,New Balance,40,793.8,1,793.8,2024-03-25,Creditcard,Luxemburg,Elizering,777,7140 FN,Reusel
1120,K1027,Michelle van Beek,michade-bruyn@gmail.com,(033)-4270866,29,Nieuw,Air Max 1 Premium,Nike,36,418.68,1,418.68,2024-05-15,PayPal,Nederland,Elifstraat,56,7002LM,Nijverdal
1121,K0714,Jordy Peters,nielsengels@yahoo.com,+3118-3046990,34,Nieuw,Yeezy Foam RNNR,Yeezy,44,235.24,1,235.24,2022-04-24,Apple Pay,Duitsland,Nickpad,2,6500XJ,Wijnbergen
1122,K2103,Sepp Mol-van Oudewater,mick03@hendricks.com,(0638) 546785,55,Nieuw,990v5,New Balance,45,182.52,1,182.52,2023-04-25,PayPal,Frankrijk,Stellahof,5,5579 YP,Goudswaard
